Term,Count
Children,1031
Youth,1755
Victims,819
French,33
Significant Others,159
Aboriginal,332
Service Providers,515
Families,381
Parents,479
Workers,85
Seniors,831
Veterans,87
Women,951
South Asian,32
Refugees,390
Chinese,74
Offenders,141
Italian,3
Grandparents,9
Immigrants/Ethnocultural Groups,483
Men,173
Christian,36
Caregivers,66
Employment Insurance Recipients,20
Southeast Asian,18
Nonprofit Agencies,26
Korean,12
Students,45
Business/Industry,37
Animals (pets),65
Middle Eastern,18
Employers,111
Babies,57
Inmates,12
Missing Persons,8
Spanish,19
Parents (young),33
Youth (in government care),56
Charities,6
Greek,2
German,1
Children (in government care),29
Black/African,22
Income Assistance Recipients,41
Croatian,3
Tenants,30
Parents (single),19
Physicians,2
Taiwanese,7
Japanese,5
Scottish,3
Military,7
Jewish,25
Animals (wildlife),12
Landladies/lords,15
Animals,10
Estonian,4
Metis,8
Muslim,1
Scandinavian,2
Writers,3
Buddhist,1
